Province,District
El Collao,Capazo
El Collao,Conduriri
El Collao,Ilave
El Collao,Pilcuyo
El Collao,Santa Rosa
Lampa,Cabanilla
Lampa,Calapuja
Lampa,Lampa
Lampa,Nicasio
Lampa,Ocuviri
Lampa,Palca
Lampa,Paratia
Lampa,Pucará
Lampa,Santa Lucía
Lampa,Vilavila
Melgar,Antauta
Melgar,Ayaviri
Melgar,Cupi
Melgar,Llalli
Melgar,Macari
Melgar,Nuñoa
Melgar,Orurillo
Melgar,Santa Rosa
Melgar,Umachiri
San Antonio de Putina,Ananea
San Antonio de Putina,Pedro Vilca Apaza
San Antonio de Putina,Putina
San Antonio de Putina,Quilcapuncu
San Antonio de Putina,Sina
Azangaro,Achaya
Azangaro,Arapa
Azangaro,Asillo
Azangaro,Azángaro
Azangaro,Caminaca
Azangaro,Chupa
Azangaro,José Domingo Choquehuanca
Azangaro,Muñani
Azangaro,Potoni
Azangaro,Saman
Azangaro,San Antón
Azangaro,San José
Azangaro,San Juan de Salinas
Azangaro,Santiago de Pupuja
Azangaro,Tirapata
